AssemblyAccession	AssemblyName	Organism	SpeciesTaxid	BioSampleAccn	ContigN50	Coverage	Strain	Pathovar	Owner	Link
GCF_001373255.1	CFBP7014	Ralstonia solanacearum (b-proteobacteria)	305	SAMEA3218683	24846	100	CFBP7014		EBI	
GCF_001373275.1	IBSBF1900.fas.gz	Ralstonia solanacearum (b-proteobacteria)	305	SAMEA3218684	15549	100	IBSBF1900		EBI	
GCF_001373295.1	RS2	Ralstonia solanacearum (b-proteobacteria)	305	SAMEA3218685	101387	100	RS2		EBI	
GCF_001373315.1	CFBP3858	Ralstonia solanacearum (b-proteobacteria)	305	SAMEA3218686	23007	100	UW181		EBI	
GCF_001373335.1	CFBP3858	Ralstonia solanacearum (b-proteobacteria)	305	SAMEA3292285	25761	100	CFBP3858		EBI	
GCF_001587135.1	ASM158713v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN04123295	3509932	155	UW163		CIRAD	
GCF_001587155.1	ASM158715v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN04123299	3460461	117	IBSBF1503		CIRAD	297402
GCF_001644795.1	ASM164479v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN03256333	82414	150	CIP120		University of Florida MREC	269725
GCF_001644805.2	P597_Nanopore	Ralstonia solanacearum (b-proteobacteria)	305	SAMN02716068	3433357	106	P597		University of Florida MREC	
GCF_001644815.1	ASM164481v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN03256353	59814	150	CFBP6783		University of Florida MREC	269725
GCF_001696845.1	RSOL003-SEQ-1-ASM-1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN04216072	136661	633.008	UW491		MRIGlobal	257008
GCF_001696855.1	RSOL002-SEQ-1-ASM-1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN04216071	120384	467.965	UW24		MRIGlobal	257008
GCF_001696865.1	RSOL001-SEQ-1-ASM-1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN04216070	101497	574.415	UW365		MRIGlobal	257008
GCF_001696875.1	RSOL004-SEQ-1-ASM-1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN04216073	110639	542.753	UW551		MRIGlobal	257008
GCF_001901665.1	ASM190166v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN05789166	15243	15	BBAC-C1		Rutgers University	
GCF_002029865.1	ASM202986v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN06560054	83870	45	GEO_99		NCDC Lugar Center	378704
GCF_002029885.1	ASM202988v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN06560052	101336	125	GEO_57		NCDC Lugar Center	378704
GCF_002029895.1	ASM202989v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN06560053	101078	188	GEO_96		NCDC Lugar Center	378704
GCF_002251605.2	ASM225160v3	Ralstonia solanacearum (b-proteobacteria)	305	SAMN06697628	1697113	32	UW700		University of Wisconsin-Madison	
GCF_002251655.1	ASM225165v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN06697629	3471163	108.03	UW551		University of Wisconsin-Madison	
GCF_002251695.1	ASM225169v1	Ralstonia solanacearum K60 (b-proteobacteria)	305	SAMN06697627	3838865	136.21	K60		University of Wisconsin-Madison	
GCF_002501565.1	ASM250156v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN07176573	3412138	308.67	RS 488		Consortium EMBRAPA Vegetable Crops/UFRPE	
GCF_002549815.1	ASM254981v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN07189980	3411957	753.1	RS 489		Consortium EMBRAPA Vegetable Crops/UFRPE	
GCF_002894765.1	ASM289476v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN08043183	93013	35	GEO_6		NCDC Lugar Center	419122
GCF_002894775.1	ASM289477v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN08046731	100162	500	GEO_304		NCDC Lugar Center	419261
GCF_002894785.1	ASM289478v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN08043185	91574	31	GEO_81		NCDC Lugar Center	419125
GCF_002894795.1	ASM289479v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN08043155	99898	20	GEO_230		NCDC Lugar Center	419114
GCF_002894845.1	ASM289484v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN08048783	57307	450	GEO_55		NCDC Lugar Center	419262
GCF_003337165.1	ASM333716v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN06189571	100560	30	P816		University of Florida MREC	
GCF_003576005.1	ASM357600v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN08407853	94590	150	P822		University of Florida	432008
GCF_003590585.2	ASM359058v2	Ralstonia solanacearum (b-proteobacteria)	305	SAMN08378625	111312	124.9	IBSBF 2570		UFRPE	
GCF_003590605.1	ASM359060v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN08384893	3480799	1	IBSBF 2571		UFRPE	
GCF_003590625.2	ASM359062v2	Ralstonia solanacearum (b-proteobacteria)	305	SAMN08380407	104519	116.8	SFC		UFRPE	
GCF_003612975.2	ASM361297v2	Ralstonia solanacearum (b-proteobacteria)	305	SAMN07187863	45586	684	CRMRs218		Consortium EMBRAPA Vegetable Crops/UFRPE	
GCF_003860665.1	ASM386066v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN10366523	5003259	30	UA-1612		Universidad de Antioquia	503606
GCF_003860685.1	ASM386068v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN10366525	5195593	30	UA-1611		Universidad de Antioquia	503606
GCF_003860705.1	ASM386070v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN10366526	5351885	30	UA-1591		Universidad de Antioquia	503606
GCF_003860725.1	ASM386072v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN10366527	5081326	30	UA-1579		Universidad de Antioquia	503606
GCF_003860745.1	ASM386074v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN10366522	5362379	30	UA-1617		Universidad de Antioquia	503606
GCF_003860765.1	ASM386076v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN10366524	5067952	30	UA-1609		Universidad de Antioquia	503606
GCF_008271875.1	ASM827187v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN08378579	36872	132	10314		University of the Philippines Diliman	
GCA_009832785.1	ASM983278v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN13633964	3142020	1	CFBP 8697		Shiraz University	
GCA_009832805.1	ASM983280v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN13639769	3299152	1	CFBP 8695		Shiraz University	
GCF_012562465.1	ASM1256246v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN14207021	3481951	70	CIAT_078		International Center for Tropical Agriculture (CIAT)	608676
GCF_013359535.1	ASM1335953v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN15102643	101099	26	UW848		The Ohio State University	637338
GCF_014210335.1	ASM1421033v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN15371200	47845	129.8	CCRMRs304		Consortium EMBRAPA Vegetable Crops/UFRPE	641916
GCF_014210345.1	ASM1421034v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN15371201	191878	163	CCRMRsB7		Consortium EMBRAPA Vegetable Crops/UFRPE	641916
GCF_014210375.1	ASM1421037v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN15371199	170471	148	CCRMRs287		Consortium EMBRAPA Vegetable Crops/UFRPE	641916
GCF_014210395.1	ASM1421039v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN15371198	49791	133	CCRMRs277		Consortium EMBRAPA Vegetable Crops/UFRPE	641916
GCF_014884745.1	ASM1488474v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN13348486	3592797	39	Rs5		Allen Lab	591018
GCF_015910635.1	ASM1591063v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125522	908313	19	NCPPB 3985		Wageningen Plant Research	663270
GCF_015910705.1	ASM1591070v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125519	1360841	26	NCPPB 325		Wageningen Plant Research	663270
GCF_015910755.1	ASM1591075v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125513	83740	162	IPO 0715		Wageningen Plant Research	663270
GCF_015910775.1	ASM1591077v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125515	110328	568	PD 445		Wageningen Plant Research	663270
GCF_015910785.1	ASM1591078v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125514	110620	434	IPO 0738		Wageningen Plant Research	663270
GCF_015910795.1	ASM1591079v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125512	93296	165	PD 141		Wageningen Plant Research	663270
GCF_015910825.1	ASM1591082v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125511	101484	313	PD 2762		Wageningen Plant Research	663270
GCF_015910855.1	ASM1591085v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125510	97464	114	PD 1447		Wageningen Plant Research	663270
GCF_015910875.1	ASM1591087v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125508	185874	332	PD 1414		Wageningen Plant Research	663270
GCF_015910885.1	ASM1591088v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125509	152655	282	PD 1446		Wageningen Plant Research	663270
GCF_015910925.1	ASM1591092v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125506	101485	194	PD 134		Wageningen Plant Research	663270
GCF_015910965.1	ASM1591096v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125503	101484	296	NAK 7		Wageningen Plant Research	663270
GCF_015911015.1	ASM1591101v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125502	110327	220	NAK 216		Wageningen Plant Research	663270
GCF_015911025.1	ASM1591102v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125500	110328	270	NAK 214		Wageningen Plant Research	663270
GCF_015911055.1	ASM1591105v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125497	110327	249	NAK 204		Wageningen Plant Research	663270
GCF_015911065.1	ASM1591106v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125501	110327	339	NAK 215		Wageningen Plant Research	663270
GCF_015911075.1	ASM1591107v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125499	101485	175	NAK 213		Wageningen Plant Research	663270
GCF_015911095.1	ASM1591109v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125498	101485	259	NAK 210		Wageningen Plant Research	663270
GCF_015911115.1	ASM1591111v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125496	110327	226	NAK 202		Wageningen Plant Research	663270
GCF_015911155.1	ASM1591115v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125495	110619	264	NAK 201		Wageningen Plant Research	663270
GCF_015911165.1	ASM1591116v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125494	110328	228	NAK 199		Wageningen Plant Research	663270
GCF_015911195.1	ASM1591119v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125492	110327	178	NAK 180		Wageningen Plant Research	663270
GCF_015911205.1	ASM1591120v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125493	110328	235	NAK 198		Wageningen Plant Research	663270
GCF_015911215.1	ASM1591121v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125491	110328	129	NAK 170		Wageningen Plant Research	663270
GCF_015911255.1	ASM1591125v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125488	110328	114	NAK 164		Wageningen Plant Research	663270
GCF_015911275.1	ASM1591127v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125490	110620	132	NAK 166		Wageningen Plant Research	663270
GCF_015911295.1	ASM1591129v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125487	110619	101	NAK 163		Wageningen Plant Research	663270
GCF_015911305.1	ASM1591130v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125486	100081	92	NAK 162		Wageningen Plant Research	663270
GCF_015911355.1	ASM1591135v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125485	110327	129	NAK 161		Wageningen Plant Research	663270
GCF_015911395.1	ASM1591139v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125484	110330	119	NAK 159		Wageningen Plant Research	663270
GCF_015911405.1	ASM1591140v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125483	36337	135	PD 4321		Wageningen Plant Research	663270
GCF_015911415.1	ASM1591141v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125481	93222	850	PD 4124		Wageningen Plant Research	663270
GCF_015911455.1	ASM1591145v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125479	26268	187	PD 3668		Wageningen Plant Research	663270
GCF_015911465.1	ASM1591146v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125480	27880	143	PD 4027		Wageningen Plant Research	663270
GCF_015911515.1	ASM1591151v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125476	98452	179	PD 3270		Wageningen Plant Research	663270
GCF_015911555.1	ASM1591155v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125474	69848	143	PD 3223		Wageningen Plant Research	663270
GCF_015911565.1	ASM1591156v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125475	84054	190	PD 3269		Wageningen Plant Research	663270
GCF_015911585.1	ASM1591158v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125473	93458	128	PD:3222		Wageningen Plant Research	663270
GCF_015911625.1	ASM1591162v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125471	55755	154	PD:3203		Wageningen Plant Research	663270
GCF_015911675.1	ASM1591167v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125469	28145	196	PD:3121		Wageningen Plant Research	663270
GCF_015911685.1	ASM1591168v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125468	28391	153	PD:3115		Wageningen Plant Research	663270
GCF_015911715.1	ASM1591171v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125467	32046	167	PD:3049		Wageningen Plant Research	663270
GCF_015911725.1	ASM1591172v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125466	21620	136	PD:2625		Wageningen Plant Research	663270
GCF_015911775.1	ASM1591177v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125464	75582	158	IPO:3731		Wageningen Plant Research	663270
GCF_015911785.1	ASM1591178v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125463	111884	437	PD:441		Wageningen Plant Research	663270
GCF_015911795.1	ASM1591179v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125462	110327	507	IPO:1828		Wageningen Plant Research	663270
GCF_015911835.1	ASM1591183v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125460	110330	394	IPO:1808		Wageningen Plant Research	663270
GCF_015911845.1	ASM1591184v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125461	110620	450	IPO:1809		Wageningen Plant Research	663270
GCF_015911875.1	ASM1591187v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125458	110619	468	IPO:1805		Wageningen Plant Research	663270
GCF_015911895.1	ASM1591189v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125457	110619	446	IPO:1804		Wageningen Plant Research	663270
GCF_015911905.1	ASM1591190v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125459	110618	442	IPO:1806		Wageningen Plant Research	663270
GCF_015911935.1	ASM1591193v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125456	93209	158	IPO:1752		Wageningen Plant Research	663270
GCF_015911945.1	ASM1591194v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125455	51263	162	CFBP:3581		Wageningen Plant Research	663270
GCF_015911975.1	ASM1591197v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125454	56621	175	IPO:1750		Wageningen Plant Research	663270
GCF_015911985.1	ASM1591198v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125453	101485	464	PD:2942		Wageningen Plant Research	663270
GCF_015912005.1	ASM1591200v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125452	101484	498	PD:2941		Wageningen Plant Research	663270
GCF_015912035.1	ASM1591203v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125451	110619	506	PD:2940		Wageningen Plant Research	663270
GCF_015912065.1	ASM1591206v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125449	129922	542	PD:1445		Wageningen Plant Research	663270
GCF_015912085.1	ASM1591208v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125447	62700	162	PD:1260		Wageningen Plant Research	663270
GCF_015912105.1	ASM1591210v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125448	74202	141	PD:1408		Wageningen Plant Research	663270
GCF_015912135.1	ASM1591213v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125446	93297	150	PD:1254		Wageningen Plant Research	663270
GCF_015912235.1	ASM1591223v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN16125441	590406	190	PD:2763		Wageningen Plant Research	663270
GCF_021117095.1	ASM2111709v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612368	3343222	40	UW72		Virginia Tech	
GCF_021117115.1	ASM2111711v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612365	3514013	41	CIP417_UW70		Virginia Tech	775652
GCF_021117135.1	ASM2111713v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612269	3362592	41	UW251		Virginia Tech	775652
GCF_022095055.1	ASM2209505v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN25611842	143029	20	RsT01		Agrosavia	803068
GCF_023074875.1	ASM2307487v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612389	3512212	41	UW88		Virginia Tech	775652
GCF_023074895.1	ASM2307489v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612387	171651	180	B73_UW840		Virginia Tech	775652
GCF_023074915.1	ASM2307491v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612386	138835	46	B70_UW839		Virginia Tech	775652
GCF_023074935.1	ASM2307493v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612385	116585	35	B68_UW837		Virginia Tech	775652
GCF_023074955.1	ASM2307495v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612384	3513560	41	UW82		Virginia Tech	775652
GCF_023074995.1	ASM2307499v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612388	71064	26	UW87		Virginia Tech	775652
GCF_023075045.1	ASM2307504v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612380	1756155	41	UW80		Virginia Tech	775652
GCF_023075135.1	ASM2307513v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612376	3740533	41	IBSBF2001_UW756		Virginia Tech	775652
GCF_023075165.1	ASM2307516v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612374	91379	29	Rs540_UW751		Virginia Tech	775652
GCF_023075175.1	ASM2307517v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612375	131974	27	Rs545_UW752		Virginia Tech	775652
GCF_023075275.1	ASM2307527v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612369	3588558	40	UW73		Virginia Tech	775652
GCF_023075295.1	ASM2307529v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612366	63955	27	AW1_UW701		Virginia Tech	775652
GCF_023075305.1	ASM2307530v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612367	4118718	41	UW71		Virginia Tech	775652
GCF_023075335.1	ASM2307533v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612364	3572105	41	CIP240_RUN482_UW692		Virginia Tech	775652
GCF_023075355.1	ASM2307535v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612363	138846	26	T1-UY_UW688		Virginia Tech	775652
GCF_023075395.1	ASM2307539v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612360	3360777	40	NCPPB3987_UW656		Virginia Tech	775652
GCF_023075475.1	ASM2307547v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612356	178626	35	RUN58_UW646		Virginia Tech	775652
GCF_023075495.1	ASM2307549v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612361	101429	28	CFBP7029_UW665		Virginia Tech	775652
GCF_023075515.1	ASM2307551v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612354	150979	23	CIP301_UW641		Virginia Tech	775652
GCF_023075555.1	ASM2307555v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612353	75622	22	CIP239_RUN043_UW639		Virginia Tech	
GCF_023075635.1	ASM2307563v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612348	100262	30	UW600		Virginia Tech	775652
GCF_023075655.1	ASM2307565v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612347	99330	26			Virginia Tech	775652
GCF_023075685.1	ASM2307568v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612345	96585	17	Rs124_UW586		Virginia Tech	775652
GCF_023075695.1	ASM2307569v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612346	62966	24	UW592		Virginia Tech	775652
GCF_023075705.1	ASM2307570v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612350	93274	32	UW611		Virginia Tech	775652
GCF_023075715.1	ASM2307571v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612343	101424	34	UW573		Virginia Tech	775652
GCF_023075775.1	ASM2307577v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612342	95827	30	UW560		Virginia Tech	775652
GCF_023075785.1	ASM2307578v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612340	95575	35	UW552		Virginia Tech	775652
GCF_023075815.1	ASM2307581v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612341	81493	22	UW557		Virginia Tech	775652
GCF_023075825.1	ASM2307582v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612339	88489	31	IPO1609_UW550		Virginia Tech	775652
GCF_023075835.1	ASM2307583v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612338	101426	35	LNPV14-25_UW523		Virginia Tech	775652
GCF_023075895.1	ASM2307589v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612336	93778	31	CIP265_UW504		Virginia Tech	775652
GCF_023075915.1	ASM2307591v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612333	4396061	41	CIP310_UW495		Virginia Tech	775652
GCF_023075955.1	ASM2307595v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612334	3162510	40	CIP180_UW500		Virginia Tech	775652
GCF_023075975.1	ASM2307597v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612332	98663	28	CIP309_UW494		Virginia Tech	775652
GCF_023075995.1	ASM2307599v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612331	107044	36	CIP302_UW492		Virginia Tech	775652
GCF_023076035.1	ASM2307603v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612328	93336	20	CIP282_UW489		Virginia Tech	775652
GCF_023076055.1	ASM2307605v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612327	198174	27	CIP214_UW488		Virginia Tech	775652
GCF_023076075.1	ASM2307607v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612324	154911	23	CIP167_UW484		Virginia Tech	775652
GCF_023076095.1	ASM2307609v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612325	245893	26	CIP177_UW485		Virginia Tech	775652
GCF_023076105.1	ASM2307610v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612326	83999	31	CIP207_UW487		Virginia Tech	775652
GCF_023076135.1	ASM2307613v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612329	99977	40	CIP238_UW490		Virginia Tech	775652
GCF_023076155.1	ASM2307615v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612322	101931	19	CIP9_UW476		Virginia Tech	775652
GCF_023076165.1	ASM2307616v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612323	3586384	40	CIP10_UW477		Virginia Tech	775652
GCF_023076215.1	ASM2307621v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612321	83203	23	CIP300_UW473		Virginia Tech	775652
GCF_023076235.1	ASM2307623v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612319	100127	29	CIP240_UW470		Virginia Tech	775652
GCF_023076255.1	ASM2307625v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612318	80246	75	CIP239_UW469		Virginia Tech	775652
GCF_023076265.1	ASM2307626v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612317	3626550	41	CIP226_UW467		Virginia Tech	775652
GCF_023076295.1	ASM2307629v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612313	3345311	40	CIP217_UW462		Virginia Tech	775652
