Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Biovar	Race	Phylotype	Comment	Bio Project ID	Project	Sample	Secondary Sample	Date Entered	Release Date	Barcode	Status	Coverage	Version	N50	Length	Predicted Species	Contig Number	No. N's	Barcode
RAL_AA0020AA	GMI1000	SRR25890109;ILLUMINA;Paired;;SRX21610483;SRA	Laboratory	Laboratory	tomato; laboratory	2023	6	30		Asia	China							Guangxi University						PRJNA1012353	SRP458180	SAMN37256213	SRS18783711	2024-11-08	2023-09-03	RAL_AA0020AA	Assembled	401.1	5.2	124898	5660008	Ralstonia solanacearum;98.61%	158	1192	RAL_AA0014AA_AS
RAL_AA0021AA	GMI1000	SRR25890110;ILLUMINA;Paired;;SRX21610482;SRA	Laboratory	Laboratory	tomato; laboratory	2023	6	30		Asia	China							Guangxi University						PRJNA1012353	SRP458180	SAMN37256212	SRS18783710	2024-11-08	2023-09-03	RAL_AA0021AA	Assembled	392.6	5.2	124898	5661282	Ralstonia solanacearum;98.83%	155	1011	RAL_AA0015AA_AS
RAL_AA0022AA	GMI1000	SRR25890111;ILLUMINA;Paired;;SRX21610481;SRA	Laboratory	Laboratory	tomato; laboratory	2023	6	30		Asia	China							Guangxi University						PRJNA1012353	SRP458180	SAMN37256211	SRS18783709	2024-11-08	2023-09-03	RAL_AA0022AA	Assembled	405.9	5.2	126167	5717032	Ralstonia solanacearum;98.87%	150	1594	RAL_AA0016AA_AS
RAL_AA0023AA	GMI1000	SRR25890112;ILLUMINA;Paired;;SRX21610480;SRA	Laboratory	Laboratory	tomato; laboratory	2023	6	30		Asia	China							Guangxi University						PRJNA1012353	SRP458180	SAMN37256210	SRS18783708	2024-11-08	2023-09-03	RAL_AA0023AA	Assembled	412.8	5.2	129447	5717819	Ralstonia solanacearum;98.86%	152	1572	RAL_AA0017AA_AS
RAL_AA0024AA	SM717_UCD507	SRR25440888;ILLUMINA;Paired;;SRX21174596;SRA	Environment	Plant	Solanum virginianum	2012				Asia	Bangladesh	Chittagong	Brahmanbaria	Ashuganj Upazila				University of California Davis						PRJNA989236	SRP451825	SAMN36081916	SRS18435924	2024-11-08	2023-07-27	RAL_AA0024AA	Assembled	69.6	5.2	149488	5609292	Ralstonia solanacearum;99.27%	106	2840	RAL_AA0018AA_AS
RAL_AA0025AA	SM718_UCD509	SRR25440889;ILLUMINA;Paired;;SRX21174595;SRA	Environment	Plant	Solanum virginianum	2012				Asia	Bangladesh	Chittagong	Brahmanbaria	Ashuganj Upazila				University of California Davis						PRJNA989236	SRP451825	SAMN36081917	SRS18435923	2024-11-08	2023-07-27	RAL_AA0025AA	Assembled	73	5.2	81077	5585561	Ralstonia solanacearum;100.0%	163	3071	RAL_AA0019AA_AS
RAL_AA0026AA	SM732_UCD517	SRR25440890;ILLUMINA;Paired;;SRX21174594;SRA	Environment	Plant	Solanum melongena grafted on Solanum sisymbriifolium rootstock	2012				Asia	Bangladesh	Dhaka Division	Tangail	Tangail Sadar Upazila				University of California Davis						PRJNA989236	SRP451825	SAMN36081918	SRS18435922	2024-11-08	2023-07-27	RAL_AA0026AA	Assembled	50.1	5.2	61112	5570187	Ralstonia solanacearum;98.89%	224	11059	RAL_AA0020AA_AS
RAL_AA0027AA	SM734_UCD498	SRR25440891;ILLUMINA;Paired;;SRX21174593;SRA	Environment	Plant	Solanum virginianum	2012				Asia	Bangladesh	Dhaka Division	Tangail	Tangail Sadar Upazila				University of California Davis						PRJNA989236	SRP451825	SAMN36081919	SRS18435921	2024-11-08	2023-07-27	RAL_AA0027AA	Assembled	45.5	5.2	79828	5765021	Ralstonia solanacearum;99.64%	207	6944	RAL_AA0021AA_AS
RAL_AA0028AA	SM735_UCD516	SRR25440892;ILLUMINA;Paired;;SRX21174592;SRA	Environment	Plant	Solanum virginianum	2012												University of California Davis						PRJNA989236	SRP451825	SAMN36081920	SRS18435920	2024-11-08	2023-07-27	RAL_AA0028AA	Assembled	59.9	5.2	104373	5748264	Ralstonia solanacearum;98.57%	183	4298	RAL_AA0022AA_AS
RAL_AA0029AA	SM741_UCD511	SRR25440893;ILLUMINA;Paired;;SRX21174591;SRA	Environment	Plant	Solanum virginianum	2012				Asia	Bangladesh	Rajshahi Division	Bogra	Bogra Sadar Upazila				University of California Davis						PRJNA989236	SRP451825	SAMN36081921	SRS18435919	2024-11-08	2023-07-27	RAL_AA0029AA	Assembled	77.3	5.2	89350	5750442	Ralstonia solanacearum;98.57%	183	3338	RAL_AA0023AA_AS
RAL_AA0030AA	SM742_UCD513	SRR25440894;ILLUMINA;Paired;;SRX21174590;SRA	Environment	Plant	Solanum virginianum	2012				Asia	Bangladesh	Rajshahi Division	Bogra	Bogra Sadar Upazila				University of California Davis						PRJNA989236	SRP451825	SAMN36081922	SRS18435918	2024-11-08	2023-07-27	RAL_AA0030AA	Assembled	76.2	5.2	142090	5635132	Ralstonia solanacearum;99.82%	147	3284	RAL_AA0024AA_AS
RAL_AA0031AA	SM1850_UCD520	SRR25440895;ILLUMINA;Paired;;SRX21174589;SRA	Environment	Plant	Solanum virginianum	2012												University of California Davis						PRJNA989236	SRP451825	SAMN36081901	SRS18435917	2024-11-08	2023-07-27	RAL_AA0031AA	Assembled	54	5.2	96631	5724662	Ralstonia solanacearum;99.82%	164	7730	RAL_AA0025AA_AS
RAL_AA0032AA	SM1851_UCD521	SRR25440896;ILLUMINA;Paired;;SRX21174588;SRA	Environment	Plant	Solanum virginianum	2012												University of California Davis						PRJNA989236	SRP451825	SAMN36081902	SRS18435916	2024-11-08	2023-07-27	RAL_AA0032AA	Assembled	59.9	5.2	79761	5817177	Ralstonia solanacearum;99.66%	216	9451	RAL_AA0026AA_AS
RAL_AA0033AA	SM1858_UCD505	SRR25440897;ILLUMINA;Paired;;SRX21174587;SRA	Environment	Plant	Solanum virginianum	2012				Asia	Bangladesh	Mymensingh Division	Jamalpur	Jamalpur Upazila				University of California Davis						PRJNA989236	SRP451825	SAMN36081903	SRS18435915	2024-11-08	2023-07-27	RAL_AA0033AA	Assembled	75.8	5.2	106252	5976702	Ralstonia solanacearum;97.64%	208	3661	RAL_AA0027AA_AS
RAL_AA0034AA	SM666_UCD496	SRR25440898;ILLUMINA;Paired;;SRX21174586;SRA	Environment	Plant	Solanum virginianum	2012				Asia	Bangladesh	Mymensingh Division	Jamalpur	Jamalpur Upazila				University of California Davis						PRJNA989236	SRP451825	SAMN36081904	SRS18435914	2024-11-08	2023-07-27	RAL_AA0034AA	Assembled	22.3	5.2	55334	5641013	Ralstonia solanacearum;100.0%	215	37311	RAL_AA0028AA_AS
RAL_AA0035AA	SM671_UCD503	SRR25440899;ILLUMINA;Paired;;SRX21174585;SRA	Environment	Plant	Solanum virginianum	2012				Asia	Bangladesh	Mymensingh Division	Jamalpur	Jamalpur Upazila				University of California Davis						PRJNA989236	SRP451825	SAMN36081905	SRS18435913	2024-11-08	2023-07-27	RAL_AA0035AA	Assembled	61.7	5.2	119478	5665640	Ralstonia solanacearum;99.66%	160	4179	RAL_AA0029AA_AS
RAL_AA0037AA	SM677_UCD518	SRR25440901;ILLUMINA;Paired;;SRX21174583;SRA	Environment	Plant	Solanum virginianum	2012				Asia	Bangladesh	Dhaka Division	Narsingdi	Narsingdi District				University of California Davis						PRJNA989236	SRP451825	SAMN36081906	SRS18435911	2024-11-08	2023-07-27	RAL_AA0037AA	Assembled	52.7	5.2	73165	5710591	Ralstonia solanacearum;98.55%	214	8188	RAL_AA0030AA_AS
RAL_AA0038AA	SM683_UCD502	SRR25440902;ILLUMINA;Paired;;SRX21174582;SRA	Environment	Plant	Solanum virginianum	2012				Asia	Bangladesh	Dhaka Division	Narsingdi	Narsingdi District				University of California Davis						PRJNA989236	SRP451825	SAMN36081907	SRS18435910	2024-11-08	2023-07-27	RAL_AA0038AA	Assembled	37.3	5.2	84834	5713177	Ralstonia solanacearum;98.75%	201	9478	RAL_AA0031AA_AS
RAL_AA0039AA	SM684_UCD504	SRR25440903;ILLUMINA;Paired;;SRX21174581;SRA	Environment	Plant	Solanum virginianum	2012				Asia	Bangladesh	Dhaka Division	Narsingdi	Narsingdi District				University of California Davis						PRJNA989236	SRP451825	SAMN36081908	SRS18435909	2024-11-08	2023-07-27	RAL_AA0039AA	Assembled	47.9	5.2	77987	5672893	Ralstonia solanacearum;98.58%	223	7773	RAL_AA0032AA_AS
RAL_AA0040AA	SM686_UCD506	SRR25440904;ILLUMINA;Paired;;SRX21174580;SRA	Environment	Plant	Solanum virginianum	2012				Asia	Bangladesh	Dhaka Division	Narsingdi	Narsingdi District				University of California Davis						PRJNA989236	SRP451825	SAMN36081909	SRS18435908	2024-11-08	2023-07-27	RAL_AA0040AA	Assembled	67.1	5.2	87674	5711419	Ralstonia solanacearum;98.58%	191	4236	RAL_AA0033AA_AS
RAL_AA0041AA	SM696_UCD519	SRR25440905;ILLUMINA;Paired;;SRX21174579;SRA	Environment	Plant	Solanum virginianum	2012				Asia	Bangladesh	Khulna Division	Jessore	Jessore Sadar Upazila				University of California Davis						PRJNA989236	SRP451825	SAMN36081910	SRS18435907	2024-11-08	2023-07-27	RAL_AA0041AA	Assembled	50.7	5.2	63751	5672752	Ralstonia solanacearum;100.0%	208	8915	RAL_AA0034AA_AS
RAL_AA0042AA	SM702_UCD515	SRR25440906;ILLUMINA;Paired;;SRX21174578;SRA	Environment	Plant	Solanum virginianum	2012				Asia	Bangladesh	Khulna Division	Jessore	Jessore Sadar Upazila				University of California Davis						PRJNA989236	SRP451825	SAMN36081911	SRS18435906	2024-11-08	2023-07-27	RAL_AA0042AA	Assembled	75	5.2	85381	5675070	Ralstonia solanacearum;100.0%	181	2628	RAL_AA0035AA_AS
RAL_AA0043AA	SM707_UCD512	SRR25440907;ILLUMINA;Paired;;SRX21174577;SRA	Environment	Plant	Solanum virginianum	2012				Asia	Bangladesh	Chittagong	Comilla	Comilla Sadar Dakshin Upazila				University of California Davis						PRJNA989236	SRP451825	SAMN36081912	SRS18435905	2024-11-08	2023-07-27	RAL_AA0043AA	Assembled	67.8	5.2	90049	5709063	Ralstonia solanacearum;98.56%	176	4687	RAL_AA0036AA_AS
RAL_AA0044AA	SM709_UCD514	SRR25440908;ILLUMINA;Paired;;SRX21174576;SRA	Environment	Plant	Solanum virginianum	2012				Asia	Bangladesh	Chittagong	Comilla	Comilla Sadar Dakshin Upazila				University of California Davis						PRJNA989236	SRP451825	SAMN36081913	SRS18435904	2024-11-08	2023-07-27	RAL_AA0044AA	Assembled	27.9	5.2	87032	5684669	Ralstonia solanacearum;99.3%	195	15987	RAL_AA0037AA_AS
RAL_AA0045AA	SM714_UCD497	SRR25440909;ILLUMINA;Paired;;SRX21174575;SRA	Environment	Plant	Capsicum sp.	2012				Asia	Bangladesh	Chittagong	Comilla	Comilla Sadar Dakshin Upazila				University of California Davis						PRJNA989236	SRP451825	SAMN36081914	SRS18435903	2024-11-08	2023-07-27	RAL_AA0045AA	Assembled	26.2	5.2	74345	5647425	Ralstonia solanacearum;99.82%	167	17606	RAL_AA0038AA_AS
RAL_AA0046AA	SM715_UCD499	SRR25440910;ILLUMINA;Paired;;SRX21174574;SRA	Environment	Plant	Capsicum sp.	2012				Asia	Bangladesh	Chittagong	Comilla	Comilla Sadar Dakshin Upazila				University of California Davis						PRJNA989236	SRP451825	SAMN36081915	SRS18435902	2024-11-08	2023-07-27	RAL_AA0046AA	Assembled	29	5.2	89572	5648260	Ralstonia solanacearum;99.82%	148	12665	RAL_AA0039AA_AS
RAL_AA0047AA	SM744_UCD522	SRR25440911;ILLUMINA;Paired;;SRX21174573;SRA	Environment	Plant	Solanum lycopersicum grafted on Solanum sisymbriifolium rootstock	2012												University of California Davis						PRJNA989236	SRP451825	SAMN36081924	SRS18435901	2024-11-08	2023-07-27	RAL_AA0047AA	Assembled	59.7	5.2	41991	5683347	Ralstonia solanacearum;99.46%	311	16235	RAL_AA0040AA_AS
RAL_AA0048AA	SM747_UCD508	SRR25440912;ILLUMINA;Paired;;SRX21174572;SRA	Environment	Plant	Solanum virginianum	2012												University of California Davis						PRJNA989236	SRP451825	SAMN36081925	SRS18435900	2024-11-08	2023-07-27	RAL_AA0048AA	Assembled	108.3	5.2	140242	5727603	Ralstonia solanacearum;99.82%	138	2669	RAL_AA0041AA_AS
RAL_AA0049AA	DG-3	SRR25270028;OXFORD_NANOPORE;Single;;SRX21015483;SRA,SRR25270029;ILLUMINA;Paired;;SRX21015482;SRA	Environment	Plant	cherry tomato	2020	11	28		Asia	China	Guangdong Province						South China Agricultural University						PRJNA994692	SRP449488	SAMN36447502	SRS18288328	2024-11-08	2024-07-31	RAL_AA0049AA	Assembled	238.4	5.2	98777	5830486	Ralstonia solanacearum;99.15%	179	2349	RAL_AA0138AA_AS
RAL_AA0050AA	UW5	SRR19621838;ILLUMINA;Paired;;SRX15672456;SRA	Environment	Plant	tropical rainforest (educated guess); Heliconia sp.	1955				North America	Costa Rica					8.9	-82.92	UC Davis						PRJNA834840	SRP373483	SAMN28078154	SRS13370645	2024-11-08	2022-06-10	RAL_AA0050AA	Assembled	149.8	5.2	43429	5712822	Ralstonia solanacearum;100.0%	266	17776	RAL_AA0044AA_AS
RAL_AA0051AA	Cw717	SRR20083553;PACBIO_SMRT;Single;;SRX16121253;SRA,SRR20083552;ILLUMINA;Paired;;SRX16121254;SRA	Environment	Plant	tomato bacterial wilt	1997				Asia	South Korea		Cheorwon-gun					National Institute of Agricultural Science, RDA						PRJNA857834	SRP385976	SAMN29638282	SRS13783716	2024-11-08	2022-09-01	RAL_AA0051AA	Assembled	1269.3	5.2	71564	5390151	Ralstonia solanacearum;100.0%	192	722	RAL_AA0320AA_AS
RAL_AA0052AA	Gj707	SRR20083557;PACBIO_SMRT;Single;;SRX16121249;SRA,SRR20083556;PACBIO_SMRT;Single;;SRX16121250;SRA,SRR20083555;PACBIO_SMRT;Single;;SRX16121251;SRA,SRR20083554;ILLUMINA;Paired;;SRX16121252;SRA	Environment	Plant	tomato bacterial wilt	1997				Asia	South Korea	Gwangju						National Institute of Agricultural Science, RDA						PRJNA857834	SRP385976	SAMN29638281	SRS13783715	2024-11-08	2022-09-01	RAL_AA0052AA	Assembled	422	5.2	93342	5824618	Ralstonia solanacearum;100.0%	189	2338	RAL_AA0956AA_AS
RAL_AA0053AA	Sw698	SRR20083561;PACBIO_SMRT;Single;;SRX16121245;SRA,SRR20083558;ILLUMINA;Paired;;SRX16121248;SRA,SRR20083559;PACBIO_SMRT;Single;;SRX16121247;SRA,SRR20083560;PACBIO_SMRT;Single;;SRX16121246;SRA	Environment	Plant	tomato bacterial wilt	1998				Asia	South Korea			Suwon-si				National Institute of Agricultural Science, RDA						PRJNA857834	SRP385976	SAMN29638280	SRS13783714	2024-11-08	2022-09-01	RAL_AA0053AA	Assembled	565.3	5.2	71564	5359672	Ralstonia solanacearum;100.0%	189	559	RAL_AA0045AA_AS
RAL_AA0055AA	LMG 9673	ERR7334980;ILLUMINA;Paired;;ERX6905577;SRA	Environment	Plant	Plant					Europe	France	Réunion						LM-UGent						PRJEB43925	ERP127906	SAMEA10977831	ERS8627655	2024-11-08	2021-11-17	RAL_AA0055AA	Assembled	179.7	5.2	72652	5464450	Ralstonia solanacearum;97.57%	305	3362	RAL_AA0046AA_AS
RAL_AA0056AA	CIP266_UW505	SRR16602792;ILLUMINA;Paired;;SRX12804057;SRA	Environment	Plant	potato	1985				Asia	Indonesia							Virginia Tech						PRJNA775652	SRP343516	SAMN22612337	SRS10749617	2024-11-08	2021-10-27	RAL_AA0056AA	Assembled	54.8	5.2	99187	5718655	Ralstonia solanacearum;97.84%	182	2158	RAL_AA0047AA_AS
RAL_AA0057AA	CIP264_UW503	SRR16602795;ILLUMINA;Paired;;SRX12804054;SRA	Environment	Plant	potato	1985				Asia	Indonesia							Virginia Tech						PRJNA775652	SRP343516	SAMN22612335	SRS10749614	2024-11-08	2021-10-27	RAL_AA0057AA	Assembled	66.6	5.2	41318	5158477	Ralstonia solanacearum;99.43%	359	1984	RAL_AA0048AA_AS
RAL_AA0058AA	CIP296_UW472	SRR16602811;ILLUMINA;Paired;;SRX12804038;SRA	Environment	Plant	potato	1968				Africa	Nigeria							Virginia Tech						PRJNA775652	SRP343516	SAMN22612320	SRS10749598	2024-11-08	2021-10-27	RAL_AA0058AA	Assembled	54.2	5.2	150238	5498147	Ralstonia solanacearum;99.09%	131	2599	RAL_AA0049AA_AS
RAL_AA0059AA	O12BS_UW407	SRR16602833;ILLUMINA;Paired;;SRX12804016;SRA	Environment	Plant	potato	1965				Oceania	Australia							Virginia Tech						PRJNA775652	SRP343516	SAMN22612300	SRS10749577	2024-11-08	2021-10-27	RAL_AA0059AA	Assembled	45.2	5.2	113274	5695253	Ralstonia solanacearum;98.78%	127	2488	RAL_AA0050AA_AS
RAL_AA0060AA	POPS1_UW379	SRR16602835;ILLUMINA;Paired;;SRX12804014;SRA	Environment	Plant	potato					Asia	China							Virginia Tech						PRJNA775652	SRP343516	SAMN22612298	SRS10749573	2024-11-08	2021-10-27	RAL_AA0060AA	Assembled	34.4	5.2	84105	5830438	Ralstonia solanacearum;99.35%	251	8153	RAL_AA0051AA_AS
RAL_AA0061AA	T25_UW811	SRR16602884;ILLUMINA;Paired;;SRX12803965;SRA	Environment	Plant	tomato	2018				Africa	Togo							Virginia Tech						PRJNA775652	SRP343516	SAMN22612383	SRS10749527	2024-11-08	2021-10-27	RAL_AA0061AA	Assembled	55.1	5.2	84798	5890865	Ralstonia solanacearum;98.08%	238	3281	RAL_AA0052AA_AS
RAL_AA0062AA	B17_UW800	SRR16602886;ILLUMINA;Paired;;SRX12803963;SRA	Environment	Plant	Solanum melongena	2018				Africa	Benin							Virginia Tech						PRJNA775652	SRP343516	SAMN22612381	SRS10749523	2024-11-08	2021-10-27	RAL_AA0062AA	Assembled	38.5	5.2	23177	5680920	Ralstonia solanacearum;99.47%	425	33377	RAL_AA0053AA_AS
RAL_AA0063AA	RUN2587_UW776	SRR16602890;ILLUMINA;Paired;;SRX12803959;SRA	Environment	Plant	potato	2013				Africa	Madagascar							Virginia Tech						PRJNA775652	SRP343516	SAMN22612377	SRS10749519	2024-11-08	2021-10-27	RAL_AA0063AA	Assembled	45.2	5.2	68129	5437200	Ralstonia solanacearum;99.08%	230	3773	RAL_AA0054AA_AS
RAL_AA0064AA	DGBBC1138_UW685	SRR16602907;ILLUMINA;Paired;;SRX12803942;SRA	Environment	Plant	potato					Africa	Guinea							Virginia Tech						PRJNA775652	SRP343516	SAMN22612362	SRS10749500	2024-11-08	2021-10-27	RAL_AA0064AA	Assembled	48.7	5.2	127784	5411871	Ralstonia solanacearum;99.43%	108	2199	RAL_AA0055AA_AS
RAL_AA0065AA	NCPPB332_UW654	SRR16602910;ILLUMINA;Paired;;SRX12803939;SRA	Environment	Plant	potato	1954				Africa	Zimbabwe							Virginia Tech						PRJNA775652	SRP343516	SAMN22612359	SRS10749497	2024-11-08	2021-10-27	RAL_AA0065AA	Assembled	50.9	5.2	71800	5487257	Ralstonia solanacearum;96.77%	200	2996	RAL_AA0056AA_AS
RAL_AA0066AA	UW198	SRR16602914;ILLUMINA;Paired;;SRX12803935;SRA	Environment	Plant	potato	1963				Asia	Philippines							Virginia Tech						PRJNA775652	SRP343516	SAMN22612257	SRS10749493	2024-11-08	2021-10-27	RAL_AA0066AA	Assembled	50	5.2	74320	5655915	Ralstonia solanacearum;99.47%	215	4305	RAL_AA0057AA_AS
RAL_AA0067AA	CIP365_UW642	SRR16602915;ILLUMINA;Paired;;SRX12803934;SRA	Environment	Plant	potato	1989				Asia	Philippines							Virginia Tech						PRJNA775652	SRP343516	SAMN22612355	SRS10749492	2024-11-08	2021-10-27	RAL_AA0067AA	Assembled	57.7	5.2	53575	5572974	Ralstonia solanacearum;100.0%	278	2907	RAL_AA0058AA_AS
RAL_AA0068AA	NCPPB:790	SRR12634644;ILLUMINA;Paired;;SRX9116961;SRA	Environment	Plant	Physalis angulata	1985				North America	Costa Rica							Wageningen Plant Research						PRJNA663270	SRP282310	SAMN16125442	SRS7359497	2024-11-08	2020-12-03	RAL_AA0068AA	Assembled	552	5.2	99170	5720551	Ralstonia solanacearum;99.81%	157	4791	RAL_AA0059AA_AS
RAL_AA0069AA	LMG 9673	SRR12634656;ILLUMINA;Paired;;SRX9116949;SRA	Environment	Plant	Pelargonium capitatum													Wageningen Plant Research						PRJNA663270	SRP282310	SAMN16125505	SRS7359485	2024-11-08	2020-12-03	RAL_AA0069AA	Assembled	298.2	5.2	65589	5450545	Ralstonia solanacearum;97.75%	304	3164	RAL_AA0060AA_AS
RAL_AA0070AA	PD 3278	SRR12634657;ILLUMINA;Paired;;SRX9116948;SRA	Environment	Plant	Morus sp.													Wageningen Plant Research						PRJNA663270	SRP282310	SAMN16125504	SRS7359484	2024-11-08	2020-12-03	RAL_AA0070AA	Assembled	329.1	5.2	27636	5260604	Ralstonia solanacearum;98.53%	435	5940	RAL_AA0061AA_AS
RAL_AA0071AA	Lallmahomed 72	SRR12634658;ILLUMINA;Paired;;SRX9116947;SRA	Environment	Plant	Arachis hypogaea	1973												Wageningen Plant Research						PRJNA663270	SRP282310	SAMN16125440	SRS7359483	2024-11-08	2020-12-03	RAL_AA0071AA	Assembled	122.4	5.2	38137	5733152	Ralstonia solanacearum;99.32%	365	11510	RAL_AA0062AA_AS
RAL_AA0072AA	Lallmahomed 66	SRR12634669;ILLUMINA;Paired;;SRX9116936;SRA	Environment	Plant	Arachis hypogaea	1973												Wageningen Plant Research						PRJNA663270	SRP282310	SAMN16125439	SRS7359472	2024-11-08	2020-12-03	RAL_AA0072AA	Assembled	113.8	5.2	32703	5700378	Ralstonia solanacearum;99.32%	409	14799	RAL_AA0063AA_AS
RAL_AA0073AA	Lallmahomed 59	SRR12634680;ILLUMINA;Paired;;SRX9116925;SRA	Environment	Plant	Casuarina equisetifolia	1973												Wageningen Plant Research						PRJNA663270	SRP282310	SAMN16125438	SRS7359461	2024-11-08	2020-12-03	RAL_AA0073AA	Assembled	100.3	5.2	29544	5662269	Ralstonia solanacearum;99.83%	414	19136	RAL_AA0064AA_AS
RAL_AA0074AA	PD 4138	SRR12634681;ILLUMINA;Paired;;SRX9116923;SRA	Environment	Plant	Curcuma longa	2001				Europe	Netherlands							Wageningen Plant Research						PRJNA663270	SRP282310	SAMN16125482	SRS7359459	2024-11-08	2020-12-03	RAL_AA0074AA	Assembled	180	5.2	26979	5741594	Ralstonia solanacearum;97.73%	451	33238	RAL_AA0065AA_AS
RAL_AA0075AA	PD 3634	SRR12634684;ILLUMINA;Paired;;SRX9116919;SRA	Environment	Plant	Solanum tuberosum	1999				Africa	Kenya							Wageningen Plant Research						PRJNA663270	SRP282310	SAMN16125478	SRS7359455	2024-11-08	2020-12-03	RAL_AA0075AA	Assembled	145.4	5.2	53350	5703501	Ralstonia solanacearum;99.32%	320	8715	RAL_AA0066AA_AS
